               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11574,            0.018836,                   0,                   0,                   0,                   0,                   0,            0.092748,            0.018333,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.13591,            0.016674,                   0,                   0,                   0,                   0,                   0,            0.092241,            0.018351,                   0,            0.097299,           0.0002991,           0.0002991
                   2,             0.11699,            0.016205,                   0,                   0,                   0,                   0,                   0,            0.091595,            0.018332,                   0,            0.095497,            0.000497,            0.000497
                   3,             0.11427,             0.01702,                   0,                   0,                   0,                   0,                   0,            0.090699,            0.018293,                   0,            0.093694,           0.0006937,           0.0006937
                   4,             0.11255,            0.016419,                   0,                   0,                   0,                   0,                   0,             0.09001,            0.018073,                   0,            0.091889,           0.0008892,           0.0008892
                   5,             0.13531,            0.016507,                   0,                   0,                   0,                   0,                   0,            0.089353,            0.017878,                   0,            0.090084,           0.0010835,           0.0010835
                   6,            0.089485,            0.016533,                   0,                   0,                   0,                   0,                   0,            0.088407,            0.017818,                   0,            0.088277,           0.0012766,           0.0012766
                   7,             0.11157,            0.017384,                   0,                   0,                   0,                   0,                   0,            0.087654,            0.017894,                   0,            0.086469,           0.0014685,           0.0014685
                   8,             0.11262,            0.013688,                   0,                   0,                   0,                   0,                   0,            0.087132,            0.017935,                   0,            0.084659,           0.0016592,           0.0016592
                   9,             0.10758,            0.014444,                   0,                   0,                   0,                   0,                   0,            0.086611,            0.017872,                   0,            0.082849,           0.0018487,           0.0018487
                  10,             0.10805,            0.016216,                   0,                   0,                   0,                   0,                   0,            0.086462,            0.017711,                   0,            0.081037,            0.002037,            0.002037
                  11,            0.087221,            0.015916,                   0,                   0,                   0,                   0,                   0,            0.086593,            0.017417,                   0,            0.079224,           0.0022241,           0.0022241
                  12,            0.087343,            0.014918,                   0,                   0,                   0,                   0,                   0,            0.085924,            0.017494,                   0,             0.07741,             0.00241,             0.00241
                  13,             0.12815,            0.016255,                   0,                   0,                   0,                   0,                   0,            0.084791,            0.017516,                   0,            0.075595,           0.0025947,           0.0025947
                  14,             0.10943,            0.014205,                   0,                   0,                   0,                   0,                   0,            0.083513,            0.017563,                   0,            0.073778,           0.0027782,           0.0027782
                  15,             0.11057,            0.015695,                   0,                   0,                   0,                   0,                   0,            0.082378,             0.01749,                   0,            0.071961,           0.0029605,           0.0029605
                  16,            0.084952,            0.012891,                   0,                   0,                   0,                   0,                   0,            0.079773,            0.017911,                   0,            0.070142,           0.0031416,           0.0031416
                  17,            0.085733,            0.014101,                   0,                   0,                   0,                   0,                   0,            0.078521,            0.018042,                   0,            0.068322,           0.0033215,           0.0033215
                  18,             0.10469,            0.014505,                   0,                   0,                   0,                   0,                   0,            0.077977,             0.01803,                   0,              0.0665,           0.0035002,           0.0035002
                  19,             0.10299,            0.014153,                   0,                   0,                   0,                   0,                   0,            0.077611,            0.017967,                   0,            0.064678,           0.0036777,           0.0036777
                  20,            0.081029,            0.013802,                   0,                   0,                   0,                   0,                   0,            0.076158,            0.017952,                   0,            0.062854,            0.003854,            0.003854
                  21,            0.080035,            0.015749,                   0,          0.00066667,              0.0625,          0.00041114,          4.1114e-05,            0.072779,            0.018366,                   0,            0.061029,           0.0040291,           0.0040291
                  22,            0.081775,            0.012702,                   0,          0.00066667,              0.0625,          0.00039147,          3.9147e-05,            0.071993,            0.018448,                   0,            0.059203,            0.004203,            0.004203
                  23,            0.077995,            0.014064,                   0,           0.0013333,               0.125,          0.00080319,          0.00019755,            0.073429,            0.018548,                   0,            0.057376,           0.0043757,           0.0043757
                  24,            0.076814,            0.012824,                   0,                   0,                   0,                   0,                   0,            0.070316,            0.018936,                   0,            0.055547,           0.0045472,           0.0045472
                  25,            0.093938,            0.016302,                   0,               0.002,              0.1875,           0.0012495,          0.00028001,            0.066695,            0.019075,                   0,            0.053718,           0.0047175,           0.0047175
                  26,            0.094002,            0.012973,                   0,           0.0046667,              0.4375,           0.0045293,          0.00076243,             0.07104,            0.020217,                   0,            0.051887,           0.0048866,           0.0048866
                  27,            0.074143,            0.015839,                   0,           0.0046667,              0.4375,           0.0045293,          0.00076243,             0.07104,            0.020217,                   0,            0.050055,           0.0050545,           0.0050545
                  28,            0.074133,            0.011229,                   0,           0.0033333,              0.3125,           0.0044458,          0.00076607,            0.067439,            0.020104,                   0,            0.048221,           0.0052212,           0.0052212
                  29,            0.071565,            0.013987,                   0,           0.0046667,              0.4375,            0.050058,           0.0079735,             0.07022,            0.020962,                   0,            0.046387,           0.0053867,           0.0053867
                  30,            0.069803,            0.014748,                   0,           0.0046667,              0.4375,            0.050058,           0.0079735,             0.07022,            0.020962,                   0,            0.044551,            0.005551,            0.005551
                  31,            0.068646,            0.016688,                   0,               0.006,              0.5625,            0.080006,             0.01264,             0.06352,            0.020952,                   0,            0.042714,           0.0057141,           0.0057141
                  32,            0.063496,            0.014694,                   0,            0.087092,              0.5625,              0.2592,            0.050576,            0.068037,            0.020974,                   0,            0.040876,            0.005876,            0.005876
                  33,            0.088753,            0.015542,                   0,            0.087092,              0.5625,              0.2592,            0.050576,            0.068037,            0.020974,                   0,            0.039037,           0.0060367,           0.0060367
                  34,             0.06504,            0.013092,                   0,           0.0033333,              0.3125,           0.0093794,           0.0015459,            0.073298,            0.017448,                   0,            0.037196,           0.0061962,           0.0061962
                  35,            0.086415,            0.018694,                   0,             0.10207,                0.25,              0.1184,            0.020209,            0.070495,            0.016923,                   0,            0.035354,           0.0063545,           0.0063545
                  36,            0.067524,            0.011615,                   0,             0.10207,                0.25,              0.1184,            0.020209,            0.070495,            0.016923,                   0,            0.033512,           0.0065116,           0.0065116
                  37,            0.086887,            0.016177,                   0,             0.22002,              0.1875,             0.13678,            0.018078,            0.065817,            0.019004,                   0,            0.031668,           0.0066675,           0.0066675
                  38,            0.097821,            0.013287,                   0,             0.13233,                 0.5,             0.12525,            0.036987,            0.060786,            0.020397,                   0,            0.029822,           0.0068222,           0.0068222
                  39,            0.081067,            0.014485,                   0,             0.13233,                 0.5,             0.12525,            0.036987,            0.060786,            0.020397,                   0,            0.027976,           0.0069757,           0.0069757
                  40,            0.059214,            0.012036,                   0,             0.13937,             0.49601,             0.14031,            0.025788,            0.059017,            0.020291,                   0,            0.026128,            0.007128,            0.007128
                  41,            0.053443,            0.016791,                   0,           0.0063766,              0.0625,           0.0020699,          0.00040582,            0.074013,            0.018914,                   0,            0.024279,           0.0072791,           0.0072791
                  42,            0.091996,            0.013693,                   0,           0.0063766,              0.0625,           0.0020699,          0.00040582,            0.074013,            0.018914,                   0,            0.022429,            0.007429,            0.007429
                  43,             0.11775,            0.013935,                   0,            0.038795,              0.1875,            0.023861,            0.005115,            0.064062,            0.021476,                   0,            0.020578,           0.0075777,           0.0075777
                  44,            0.085559,            0.015035,                   0,            0.038795,              0.1875,            0.023861,            0.005115,            0.064062,            0.021476,                   0,            0.018725,           0.0077252,           0.0077252
                  45,            0.081405,            0.011162,                   0,           0.0060452,              0.1875,           0.0045564,          0.00067086,            0.064844,             0.02301,                   0,            0.016871,           0.0078715,           0.0078715
                  46,            0.084583,             0.01175,                   0,           0.0060452,              0.1875,           0.0045564,          0.00067086,            0.064844,             0.02301,                   0,            0.015017,           0.0080166,           0.0080166
                  47,             0.07754,            0.014436,                   0,            0.038216,             0.14426,            0.026825,           0.0056574,            0.058928,            0.023658,                   0,            0.013161,           0.0081605,           0.0081605
                  48,            0.077521,            0.014103,                   0,            0.038216,             0.14426,            0.026825,           0.0056574,            0.058928,            0.023658,                   0,            0.011303,           0.0083032,           0.0083032
                  49,            0.072929,            0.014507,                   0,            0.018129,              0.0625,           0.0024369,          0.00043559,            0.069884,            0.026764,                   0,           0.0094447,           0.0084447,           0.0084447
                  50,            0.059196,            0.011711,                   0,            0.018129,              0.0625,           0.0024369,          0.00043559,            0.069884,            0.026764,                   0,              0.0085,              0.0085,              0.0085
                  51,            0.062802,            0.010348,                   0,            0.010313,               0.125,            0.008063,           0.0014541,            0.065239,            0.022989,                   0,              0.0085,              0.0085,              0.0085
                  52,            0.067594,            0.010791,                   0,            0.010313,               0.125,            0.008063,           0.0014541,            0.065239,            0.022989,                   0,             0.00847,             0.00847,             0.00847
                  53,            0.062851,            0.011098,                   0,            0.031047,               0.125,            0.018875,           0.0031303,            0.060893,            0.022452,                   0,             0.00844,             0.00844,             0.00844
                  54,            0.064125,           0.0095105,                   0,            0.031047,               0.125,            0.018875,           0.0031303,            0.060893,            0.022452,                   0,             0.00841,             0.00841,             0.00841
                  55,             0.10127,            0.014216,                   0,             0.10518,               0.375,            0.087651,            0.015994,            0.055786,            0.024124,                   0,             0.00838,             0.00838,             0.00838
                  56,            0.079417,            0.018649,                   0,             0.10518,               0.375,            0.087651,            0.015994,            0.055786,            0.024124,                   0,             0.00835,             0.00835,             0.00835
                  57,            0.056841,            0.011372,                   0,             0.17941,                0.25,             0.15303,            0.037255,            0.063234,            0.021575,                   0,             0.00832,             0.00832,             0.00832
                  58,            0.078583,            0.015623,                   0,             0.17941,                0.25,             0.15303,            0.037255,            0.063234,            0.021575,                   0,             0.00829,             0.00829,             0.00829
                  59,            0.080641,            0.013492,                   0,             0.27676,              0.4375,             0.29296,            0.054844,            0.048229,            0.024516,                   0,             0.00826,             0.00826,             0.00826
                  60,            0.049691,            0.014298,                   0,             0.27676,              0.4375,             0.29296,            0.054844,            0.048229,            0.024516,                   0,             0.00823,             0.00823,             0.00823
                  61,            0.076393,            0.014541,                   0,             0.20904,              0.3125,             0.14865,            0.031976,            0.054264,            0.021222,                   0,              0.0082,              0.0082,              0.0082
                  62,            0.051936,            0.015502,                   0,             0.20904,              0.3125,             0.14865,            0.031976,            0.054264,            0.021222,                   0,             0.00817,             0.00817,             0.00817
                  63,            0.076045,            0.014292,                   0,             0.17905,              0.5625,             0.15204,            0.053327,            0.044933,            0.022225,                   0,             0.00814,             0.00814,             0.00814
                  64,            0.072135,            0.013222,                   0,             0.17905,              0.5625,             0.15204,            0.053327,            0.044933,            0.022225,                   0,             0.00811,             0.00811,             0.00811
                  65,            0.069346,            0.011766,                   0,             0.18052,               0.375,             0.23998,             0.07241,            0.047565,            0.019788,                   0,             0.00808,             0.00808,             0.00808
                  66,            0.045911,            0.014095,                   0,             0.18052,               0.375,             0.23998,             0.07241,            0.047565,            0.019788,                   0,             0.00805,             0.00805,             0.00805
                  67,             0.04701,            0.011543,                   0,            0.060585,               0.375,             0.04847,           0.0086461,             0.05682,            0.015368,                   0,             0.00802,             0.00802,             0.00802
                  68,            0.054543,            0.011972,                   0,            0.060585,               0.375,             0.04847,           0.0086461,             0.05682,            0.015368,                   0,             0.00799,             0.00799,             0.00799
                  69,            0.051115,            0.013159,                   0,             0.19145,               0.625,             0.16136,            0.028084,            0.057438,            0.014785,                   0,             0.00796,             0.00796,             0.00796
                  70,            0.054854,            0.010525,                   0,             0.19145,               0.625,             0.16136,            0.028084,            0.057438,            0.014785,                   0,             0.00793,             0.00793,             0.00793
                  71,             0.10567,            0.013013,                   0,             0.19731,              0.4375,             0.14125,            0.031226,            0.055775,            0.014269,                   0,              0.0079,              0.0079,              0.0079
                  72,            0.055762,           0.0093985,                   0,             0.19731,              0.4375,             0.14125,            0.031226,            0.055775,            0.014269,                   0,             0.00787,             0.00787,             0.00787
                  73,             0.07435,             0.01423,                   0,             0.13401,              0.3125,             0.13992,            0.025799,            0.060584,             0.01344,                   0,             0.00784,             0.00784,             0.00784
                  74,            0.051178,           0.0085499,                   0,             0.13401,              0.3125,             0.13992,            0.025799,            0.060584,             0.01344,                   0,             0.00781,             0.00781,             0.00781
                  75,            0.053908,            0.012545,                   0,             0.16504,              0.5625,             0.13564,             0.03486,            0.056061,            0.013872,                   0,             0.00778,             0.00778,             0.00778
                  76,            0.078452,            0.010821,                   0,             0.16504,              0.5625,             0.13564,             0.03486,            0.056061,            0.013872,                   0,             0.00775,             0.00775,             0.00775
                  77,            0.072806,           0.0099853,                   0,             0.22554,              0.6875,             0.20337,            0.046432,            0.056677,            0.013312,                   0,             0.00772,             0.00772,             0.00772
                  78,            0.077286,           0.0099567,                   0,             0.22554,              0.6875,             0.20337,            0.046432,            0.056677,            0.013312,                   0,             0.00769,             0.00769,             0.00769
                  79,            0.078437,           0.0098149,                   0,             0.54733,             0.75592,             0.68799,             0.21515,            0.047776,            0.013677,                   0,             0.00766,             0.00766,             0.00766
                  80,            0.073875,            0.011471,                   0,             0.54733,             0.75592,             0.68799,             0.21515,            0.047776,            0.013677,                   0,             0.00763,             0.00763,             0.00763
                  81,            0.069463,            0.011097,                   0,             0.32253,             0.62485,             0.31141,              0.0617,            0.051684,            0.014071,                   0,              0.0076,              0.0076,              0.0076
                  82,            0.070527,            0.011332,                   0,             0.32253,             0.62485,             0.31141,              0.0617,            0.051684,            0.014071,                   0,             0.00757,             0.00757,             0.00757
                  83,            0.069445,            0.011877,                   0,             0.43747,               0.625,             0.49025,             0.11803,            0.040658,            0.014763,                   0,             0.00754,             0.00754,             0.00754
                  84,            0.046374,            0.010752,                   0,             0.43747,               0.625,             0.49025,             0.11803,            0.040658,            0.014763,                   0,             0.00751,             0.00751,             0.00751
                  85,            0.042536,            0.011224,                   0,             0.51127,              0.6875,             0.52437,              0.1137,            0.047474,            0.015068,                   0,             0.00748,             0.00748,             0.00748
                  86,            0.073449,            0.013864,                   0,             0.51127,              0.6875,             0.52437,              0.1137,            0.047474,            0.015068,                   0,             0.00745,             0.00745,             0.00745
